index,game_id,condition,round_index,correct_answer,plot_sequence,player_id,cumulative_score,difficulty,revised_guess,revised_error,increment,increment_color,in_degree,study,round_after_shock,quarter,task_instance_avg_error,revised_error_relative2solo,independent_error_relative2solo,independent_guess,independent_error,half,best_player,ind_score,cumulative_ind_score,final_score,final_ind_score,improvement,group,best_player_initial,best_player_revised,current_rev_score,current_ind_score,half_cumulative
0,103,dynamic,1,0.09,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,0.96,easy,0.05,0.04,0.96,green,3,1,1,1,0.232077922,-0.192077922,-0.192077922,0.05,0.04,1,False,0.96,0.96,16.21,15.44,0.0,1,False,False,0.0,0.0,0.96
2172,103,dynamic,2,0.78,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,1.81,easy,0.63,0.15,0.85,red,6,1,2,1,0.193461538,-0.043461538,-0.173461538,0.76,0.02,1,False,0.98,1.94,16.21,15.44,0.13,1,False,False,0.9600000000000001,1.0899999999999999,1.81
4178,103,dynamic,3,0.91,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,2.73,easy,0.83,0.08,0.92,orange,5,1,3,1,0.143076923,-0.063076923,-0.063076923,0.83,0.08,1,False,0.92,2.86,16.21,15.44,0.0,1,False,False,1.81,1.94,2.73
4328,103,dynamic,4,0.47,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,3.34,easy,0.08,0.39,0.61,red,3,1,4,1,0.162435897,0.227564103,0.227564103,0.08,0.39,1,False,0.61,3.47,16.21,15.44,0.0,1,False,False,2.73,2.8600000000000003,3.34
6154,103,dynamic,5,0.08,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,4.3,easy,0.04,0.04,0.96,red,1,1,5,1,0.193333333,-0.153333333,-0.153333333,0.04,0.04,1,False,0.96,4.43,16.21,15.44,0.0,1,False,False,3.34,3.4699999999999998,4.3
7165,103,dynamic,6,0.27,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,5.12,easy,0.09,0.18,0.82,red,1,1,6,2,0.159487179,0.020512821,0.020512821,0.09,0.18,1,False,0.82,5.25,16.21,15.44,0.0,1,False,False,4.3,4.43,5.12
8831,103,dynamic,7,0.58,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,6.02,easy,0.68,0.1,0.9,orange,1,1,7,2,0.146153846,-0.046153846,-0.046153846,0.68,0.1,1,False,0.9,6.15,16.21,15.44,0.0,1,False,False,5.119999999999999,5.25,6.02
10931,103,dynamic,8,0.78,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,6.98,easy,0.82,0.04,0.96,orange,1,1,8,2,0.122564103,-0.082564103,-0.082564103,0.82,0.04,1,False,0.96,7.11,16.21,15.44,0.0,1,False,False,6.0200000000000005,6.15,6.98
11415,103,dynamic,9,0.03,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,7.98,easy,0.03,0.0,1.0,green,1,1,9,2,0.162692308,-0.162692308,-0.162692308,0.03,0.0,1,False,1.0,8.11,16.21,15.44,0.0,1,False,False,6.98,7.109999999999999,7.98
14048,103,dynamic,10,0.08,easy->hard,y7gd5boo3cl0s6ndywyv6kkkgfx5tf0msk4jcmaqwwlwcmq3oq7cghbzcrh6fd1yc44uthe14rqbvn7y,8.97,easy,0.07,0.01,0.99,green,1,1,10,2,0.137051282,-0.127051282,-0.127051282,0.07,0.01,1,False,0.99,9.1,16.21,15.44,0.0,1,False,False,7.98,8.11,8.97
