player_id,condition,round_index,correct_answer,independent_guess,revised_guess,neighbors_choice,score,difficulty,alter_1,alter_2,alter_3,in_degree,independent_error,revised_error,cumulative_score,increment,round_after_shock
0,solo_self_feedback,0,9,5,,,4.0,easy,2,5,,2,4,,4.0,,0
0,solo_self_feedback,1,78,85,,,7.0,easy,2,5,,2,7,,11.0,7.0,1
0,solo_self_feedback,2,91,80,,,11.0,easy,2,5,,2,11,,22.0,11.0,2
0,solo_self_feedback,3,47,85,,,38.0,easy,2,5,,2,38,,60.0,38.0,3
0,solo_self_feedback,4,8,10,,,2.0,easy,2,5,,2,2,,62.0,2.0,4
0,solo_self_feedback,5,27,5,,,22.0,hard,2,5,,2,22,,84.0,22.0,5
0,solo_self_feedback,6,58,30,,,27.999999999999993,hard,2,5,,2,28,,112.0,28.0,6
0,solo_self_feedback,7,78,40,,,38.0,hard,2,5,,2,38,,150.0,38.0,7
0,solo_self_feedback,8,3,70,,,67.0,hard,2,5,,2,67,,217.0,67.0,8
0,solo_self_feedback,9,8,20,,,12.0,hard,2,5,,2,12,,229.0,12.0,9
1,solo_self_feedback,0,9,20,,,11.0,medium,0,2,,2,11,,11.0,-218.0,0
1,solo_self_feedback,1,78,30,,,48.0,medium,0,2,,2,48,,59.0,48.0,1
1,solo_self_feedback,2,91,85,,,6.0,medium,0,2,,2,6,,65.0,6.0,2
1,solo_self_feedback,3,47,75,,,28.0,medium,0,2,,2,28,,93.0,28.0,3
1,solo_self_feedback,4,8,20,,,12.0,medium,0,2,,2,12,,105.0,12.0,4
1,solo_self_feedback,5,27,10,,,17.0,easy,0,2,,2,17,,122.0,17.0,5
1,solo_self_feedback,6,58,85,,,27.000000000000007,easy,0,2,,2,27,,149.0,27.0,6
1,solo_self_feedback,7,78,80,,,2.0,easy,0,2,,2,2,,151.0,2.0,7
1,solo_self_feedback,8,3,10,,,7.0,easy,0,2,,2,7,,158.0,7.0,8
1,solo_self_feedback,9,8,5,,,3.0,easy,0,2,,2,3,,161.0,3.0,9
2,solo_self_feedback,0,9,70,,,61.0,hard,3,5,,2,61,,61.0,-100.0,0
2,solo_self_feedback,1,78,60,,,18.0,hard,3,5,,2,18,,79.0,18.0,1
2,solo_self_feedback,2,91,65,,,26.0,hard,3,5,,2,26,,105.0,26.0,2
2,solo_self_feedback,3,47,0,,,47.0,hard,3,5,,2,47,,152.0,47.0,3
2,solo_self_feedback,4,8,65,,,57.0,hard,3,5,,2,57,,209.0,57.0,4
2,solo_self_feedback,5,27,70,,,43.0,medium,3,5,,2,43,,252.0,43.0,5
2,solo_self_feedback,6,58,30,,,27.999999999999993,medium,3,5,,2,28,,280.0,28.0,6
2,solo_self_feedback,7,78,75,,,3.0,medium,3,5,,2,3,,283.0,3.0,7
2,solo_self_feedback,8,3,10,,,7.0,medium,3,5,,2,7,,290.0,7.0,8
2,solo_self_feedback,9,8,65,,,57.0,medium,3,5,,2,57,,347.0,57.0,9
3,solo_self_feedback,0,9,0,,,9.0,easy,4,0,,2,9,,9.0,-338.0,0
3,solo_self_feedback,1,78,70,,,8.0,easy,4,0,,2,8,,17.0,8.0,1
3,solo_self_feedback,2,91,80,,,11.0,easy,4,0,,2,11,,28.0,11.0,2
3,solo_self_feedback,3,47,75,,,28.0,easy,4,0,,2,28,,56.0,28.0,3
3,solo_self_feedback,4,8,10,,,2.0,easy,4,0,,2,2,,58.0,2.0,4
3,solo_self_feedback,5,27,5,,,22.0,hard,4,0,,2,22,,80.0,22.0,5
3,solo_self_feedback,6,58,40,,,17.999999999999993,hard,4,0,,2,18,,98.0,18.0,6
3,solo_self_feedback,7,78,20,,,58.0,hard,4,0,,2,58,,156.0,58.0,7
3,solo_self_feedback,8,3,85,,,82.0,hard,4,0,,2,82,,238.0,82.0,8
3,solo_self_feedback,9,8,15,,,7.0,hard,4,0,,2,7,,245.0,7.0,9
4,solo_self_feedback,0,9,20,,,11.0,medium,1,2,,2,11,,11.0,-234.0,0
4,solo_self_feedback,1,78,60,,,18.0,medium,1,2,,2,18,,29.0,18.0,1
4,solo_self_feedback,2,91,85,,,6.0,medium,1,2,,2,6,,35.0,6.0,2
4,solo_self_feedback,3,47,75,,,28.0,medium,1,2,,2,28,,63.0,28.0,3
4,solo_self_feedback,4,8,30,,,22.0,medium,1,2,,2,22,,85.0,22.0,4
4,solo_self_feedback,5,27,10,,,17.0,easy,1,2,,2,17,,102.0,17.0,5
4,solo_self_feedback,6,58,85,,,27.000000000000007,easy,1,2,,2,27,,129.0,27.0,6
4,solo_self_feedback,7,78,80,,,2.0,easy,1,2,,2,2,,131.0,2.0,7
4,solo_self_feedback,8,3,10,,,7.0,easy,1,2,,2,7,,138.0,7.0,8
4,solo_self_feedback,9,8,5,,,3.0,easy,1,2,,2,3,,141.0,3.0,9
5,solo_self_feedback,0,9,60,,,51.0,hard,4,3,,2,51,,51.0,-90.0,0
5,solo_self_feedback,1,78,30,,,48.0,hard,4,3,,2,48,,99.0,48.0,1
5,solo_self_feedback,2,91,70,,,21.0,hard,4,3,,2,21,,120.0,21.0,2
5,solo_self_feedback,3,47,90,,,43.0,hard,4,3,,2,43,,163.0,43.0,3
5,solo_self_feedback,4,8,10,,,2.0,hard,4,3,,2,2,,165.0,2.0,4
5,solo_self_feedback,5,27,40,,,13.0,medium,4,3,,2,13,,178.0,13.0,5
