player_id,condition,round_index,correct_answer,independent_guess,revised_guess,neighbors_choice,score,difficulty,alter_1,alter_2,alter_3,in_degree,independent_error,revised_error,cumulative_score,increment,round_after_shock
0,solo_self_feedback_2,0,9,5,,,4.0,easy,2,5,,2,4,,4.0,,0
0,solo_self_feedback_2,1,78,85,,,7.0,easy,2,5,,2,7,,11.0,7.0,1
0,solo_self_feedback_2,2,91,80,,,11.0,easy,2,5,,2,11,,22.0,11.0,2
0,solo_self_feedback_2,3,47,85,,,38.0,easy,2,5,,2,38,,60.0,38.0,3
0,solo_self_feedback_2,4,8,10,,,2.0,easy,2,5,,2,2,,62.0,2.0,4
0,solo_self_feedback_2,5,27,10,,,17.0,hard,2,5,,2,17,,79.0,17.0,5
0,solo_self_feedback_2,6,58,35,,,22.999999999999993,hard,2,5,,2,23,,102.0,23.0,6
0,solo_self_feedback_2,7,78,30,,,48.0,hard,2,5,,2,48,,150.0,48.0,7
0,solo_self_feedback_2,8,3,90,,,87.0,hard,2,5,,2,87,,237.0,87.0,8
0,solo_self_feedback_2,9,8,20,,,12.0,hard,2,5,,2,12,,249.0,12.0,9
1,solo_self_feedback_2,0,9,10,,,1.0,medium,0,2,,2,1,,1.0,-248.0,0
1,solo_self_feedback_2,1,78,15,,,63.0,medium,0,2,,2,63,,64.0,63.0,1
1,solo_self_feedback_2,2,91,85,,,6.0,medium,0,2,,2,6,,70.0,6.0,2
1,solo_self_feedback_2,3,47,80,,,33.0,medium,0,2,,2,33,,103.0,33.0,3
1,solo_self_feedback_2,4,8,20,,,12.0,medium,0,2,,2,12,,115.0,12.0,4
1,solo_self_feedback_2,5,27,15,,,12.0,easy,0,2,,2,12,,127.0,12.0,5
1,solo_self_feedback_2,6,58,85,,,27.000000000000007,easy,0,2,,2,27,,154.0,27.0,6
1,solo_self_feedback_2,7,78,85,,,7.0,easy,0,2,,2,7,,161.0,7.0,7
1,solo_self_feedback_2,8,3,10,,,7.0,easy,0,2,,2,7,,168.0,7.0,8
1,solo_self_feedback_2,9,8,10,,,2.0,easy,0,2,,2,2,,170.0,2.0,9
2,solo_self_feedback_2,0,9,60,,,51.0,hard,3,5,,2,51,,51.0,-119.0,0
2,solo_self_feedback_2,1,78,70,,,8.0,hard,3,5,,2,8,,59.0,8.0,1
2,solo_self_feedback_2,2,91,75,,,16.0,hard,3,5,,2,16,,75.0,16.0,2
2,solo_self_feedback_2,3,47,10,,,37.0,hard,3,5,,2,37,,112.0,37.0,3
2,solo_self_feedback_2,4,8,55,,,47.0,hard,3,5,,2,47,,159.0,47.0,4
2,solo_self_feedback_2,5,27,60,,,33.0,medium,3,5,,2,33,,192.0,33.0,5
