player_id,condition,round_index,correct_answer,independent_guess,revised_guess,neighbors_choice,score,difficulty,alter_1,alter_2,alter_3,in_degree,independent_error,revised_error,cumulative_score,increment,round_after_shock
0,static_network_2,0,9,10,15,,6.0,easy,2,5,,2,1,6,6.0,,0
0,static_network_2,1,78,80,35,,43.0,easy,2,5,,2,2,43,49.0,43.0,1
0,static_network_2,2,91,85,65,,26.0,easy,2,5,,2,6,26,75.0,26.0,2
0,static_network_2,3,47,70,40,,7.0,easy,2,5,,2,23,7,82.0,7.0,3
0,static_network_2,4,8,5,10,,2.0,easy,2,5,,2,3,2,84.0,2.0,4
0,static_network_2,5,27,10,5,,22.0,hard,2,5,,2,17,22,106.0,22.0,5
0,static_network_2,6,58,40,50,,7.999999999999993,hard,2,5,,2,18,8,114.0,8.0,6
0,static_network_2,7,78,5,40,,38.0,hard,2,5,,2,73,38,152.0,38.0,7
0,static_network_2,8,3,85,22,,19.0,hard,2,5,,2,82,19,171.0,19.0,8
0,static_network_2,9,8,5,7,,1.0,hard,2,5,,2,3,1,172.0,1.0,9
1,static_network_2,0,9,10,30,,21.0,medium,0,2,,2,1,21,21.0,-151.0,0
1,static_network_2,1,78,10,10,,68.0,medium,0,2,,2,68,68,89.0,68.0,1
1,static_network_2,2,91,85,85,,6.0,medium,0,2,,2,6,6,95.0,6.0,2
1,static_network_2,3,47,70,70,,23.0,medium,0,2,,2,23,23,118.0,23.0,3
1,static_network_2,4,8,10,10,,2.0,medium,0,2,,2,2,2,120.0,2.0,4
1,static_network_2,5,27,5,5,,22.0,easy,0,2,,2,22,22,142.0,22.0,5
1,static_network_2,6,58,85,85,,27.000000000000007,easy,0,2,,2,27,27,169.0,27.0,6
1,static_network_2,7,78,80,60,,18.0,easy,0,2,,2,2,18,187.0,18.0,7
1,static_network_2,8,3,10,10,,7.0,easy,0,2,,2,7,7,194.0,7.0,8
1,static_network_2,9,8,5,5,,3.0,easy,0,2,,2,3,3,197.0,3.0,9
2,static_network_2,0,9,70,30,,21.0,hard,3,5,,2,61,21,21.0,-176.0,0
2,static_network_2,1,78,40,35,,43.0,hard,3,5,,2,38,43,64.0,43.0,1
2,static_network_2,2,91,25,50,,41.0,hard,3,5,,2,66,41,105.0,41.0,2
2,static_network_2,3,47,5,50,,3.0,hard,3,5,,2,42,3,108.0,3.0,3
2,static_network_2,4,8,30,10,,2.0,hard,3,5,,2,22,2,110.0,2.0,4
2,static_network_2,5,27,30,10,,17.0,medium,3,5,,2,3,17,127.0,17.0,5
2,static_network_2,6,58,20,50,,7.999999999999993,medium,3,5,,2,38,8,135.0,8.0,6
2,static_network_2,7,78,55,40,,38.0,medium,3,5,,2,23,38,173.0,38.0,7
2,static_network_2,8,3,10,15,,12.0,medium,3,5,,2,7,12,185.0,12.0,8
2,static_network_2,9,8,40,10,,2.0,medium,3,5,,2,32,2,187.0,2.0,9
3,static_network_2,0,9,5,10,,1.0,easy,4,0,,2,4,1,1.0,-186.0,0
3,static_network_2,1,78,85,30,,48.0,easy,4,0,,2,7,48,49.0,48.0,1
3,static_network_2,2,91,85,80,,11.0,easy,4,0,,2,6,11,60.0,11.0,2
3,static_network_2,3,47,85,60,,13.0,easy,4,0,,2,38,13,73.0,13.0,3
3,static_network_2,4,8,10,12,,4.0,easy,4,0,,2,2,4,77.0,4.0,4
3,static_network_2,5,27,5,8,,19.0,hard,4,0,,2,22,19,96.0,19.0,5
3,static_network_2,6,58,25,60,,2.000000000000007,hard,4,0,,2,33,2,98.0,2.0,6
3,static_network_2,7,78,15,55,,23.0,hard,4,0,,2,63,23,121.0,23.0,7
3,static_network_2,8,3,85,20,,17.0,hard,4,0,,2,82,17,138.0,17.0,8
3,static_network_2,9,8,15,12,,4.0,hard,4,0,,2,7,4,142.0,4.0,9
4,static_network_2,0,9,10,25,,16.0,medium,1,2,,2,1,16,16.0,-126.0,0
4,static_network_2,1,78,15,12,,66.0,medium,1,2,,2,63,66,82.0,66.0,1
4,static_network_2,2,91,85,85,,6.0,medium,1,2,,2,6,6,88.0,6.0,2
4,static_network_2,3,47,45,70,,23.0,medium,1,2,,2,2,23,111.0,23.0,3
4,static_network_2,4,8,10,10,,2.0,medium,1,2,,2,2,2,113.0,2.0,4
4,static_network_2,5,27,5,5,,22.0,easy,1,2,,2,22,22,135.0,22.0,5
4,static_network_2,6,58,80,80,,22.000000000000007,easy,1,2,,2,22,22,157.0,22.0,6
4,static_network_2,7,78,75,55,,23.0,easy,1,2,,2,3,23,180.0,23.0,7
4,static_network_2,8,3,10,10,,7.0,easy,1,2,,2,7,7,187.0,7.0,8
4,static_network_2,9,8,5,5,,3.0,easy,1,2,,2,3,3,190.0,3.0,9
5,static_network_2,0,9,60,4,,5.0,hard,4,3,,2,51,5,5.0,-185.0,0
5,static_network_2,1,78,60,20,,58.0,hard,4,3,,2,18,58,63.0,58.0,1
5,static_network_2,2,91,50,75,,16.0,hard,4,3,,2,41,16,79.0,16.0,2
5,static_network_2,3,47,5,65,,18.0,hard,4,3,,2,42,18,97.0,18.0,3
5,static_network_2,4,8,40,12,,4.0,hard,4,3,,2,32,4,101.0,4.0,4
5,static_network_2,5,27,45,10,,17.0,medium,4,3,,2,18,17,118.0,17.0,5
5,static_network_2,6,58,30,70,,12.000000000000007,medium,4,3,,2,28,12,130.0,12.0,6
